Wall time,Step,Value
1675107500.981328,1000,-27.399999618530273
1675107513.743986,2000,-76.0
1675107527.0202937,3000,305.20001220703125
1675107540.0781138,4000,414.0
1675107554.1705005,5000,321.20001220703125
1675107567.2311718,6000,322.79998779296875
1675107580.8952343,7000,-5.400000095367432
1675107593.654525,8000,-300.6000061035156
1675107607.5382292,9000,-40.0
1675107620.6033762,10000,-19.799999237060547
1675107634.2120624,11000,235.39999389648438
1675107647.3467913,12000,186.8000030517578
1675107660.8355334,13000,443.20001220703125
1675107673.9411027,14000,145.0
1675107687.50218,15000,330.6000061035156
1675107700.3275547,16000,160.8000030517578
1675107713.7088878,17000,442.79998779296875
1675107726.607451,18000,508.6000061035156
1675107740.594426,19000,668.5999755859375
1675107753.6550558,20000,700.7999877929688
1675107767.8857954,21000,1355.800048828125
1675107780.7132714,22000,1138.5999755859375
1675107794.0715678,23000,859.4000244140625
1675107807.0895755,24000,810.5999755859375
1675107820.2691813,25000,-2029.4000244140625
1675107832.9289849,26000,1192.800048828125
1675107846.3754961,27000,979.7999877929688
1675107858.9832475,28000,-731.5999755859375
1675107872.3101115,29000,1402.4000244140625
1675107885.2788243,30000,1488.5999755859375
1675107898.7974885,31000,1392.0
1675107911.2478733,32000,1562.5999755859375
1675107924.7939034,33000,1263.4000244140625
1675107937.561954,34000,1244.4000244140625
1675107951.0417259,35000,1459.800048828125
1675107963.879241,36000,1413.199951171875
1675107977.3321078,37000,1226.4000244140625
1675107990.0483992,38000,1565.199951171875
1675108003.828067,39000,1164.800048828125
1675108016.7991657,40000,1030.4000244140625
1675108030.1479373,41000,1622.5999755859375
1675108043.285919,42000,1151.0
1675108056.042165,43000,1303.800048828125
1675108069.416835,44000,1321.199951171875
1675108082.1731834,45000,1367.5999755859375
1675108095.6073334,46000,1759.5999755859375
1675108108.7470384,47000,1421.0
1675108122.0120525,48000,1377.800048828125
1675108134.6349099,49000,1441.199951171875
1675108147.8522875,50000,1442.0
1675108160.6816046,51000,1355.0
1675108174.2206748,52000,1410.199951171875
1675108186.930865,53000,1516.0
1675108200.4697237,54000,1306.800048828125
1675108213.275402,55000,1356.4000244140625
1675108226.7059846,56000,1263.800048828125
1675108239.6381142,57000,1183.0
1675108253.031991,58000,1281.5999755859375
1675108265.9592261,59000,1267.0
1675108279.476617,60000,880.7999877929688
1675108292.205917,61000,977.7999877929688
1675108305.3460114,62000,1390.800048828125
1675108318.0309274,63000,1625.199951171875
1675108331.5978732,64000,1436.800048828125
1675108344.3242586,65000,1670.199951171875
1675108357.5792947,66000,1343.800048828125
1675108370.2338235,67000,1541.0
1675108383.4281647,68000,1766.4000244140625
1675108396.5532992,69000,1365.5999755859375
1675108409.9098043,70000,1449.199951171875
1675108422.5481668,71000,1538.4000244140625
1675108435.9408746,72000,1373.4000244140625
1675108448.5533373,73000,1537.800048828125
1675108461.913418,74000,1530.199951171875
1675108474.53693,75000,1560.800048828125
1675108487.9449687,76000,1370.5999755859375
1675108500.8061533,77000,1503.800048828125
1675108514.1360228,78000,1701.4000244140625
1675108526.8138192,79000,1438.0
1675108540.2609107,80000,1496.4000244140625
1675108552.9899366,81000,1592.199951171875
1675108566.416395,82000,1182.5999755859375
