Wall time,Step,Value
1658059686.273162,2048,-2253.722412109375
1658059709.4931617,4096,-2037.07275390625
1658059732.7555978,6144,-1957.220947265625
1658059756.173234,8192,-1926.2386474609375
1658059779.5310175,10240,-1826.2176513671875
1658059802.7797291,12288,-1683.850341796875
1658059826.1040337,14336,-1679.3826904296875
1658059849.5224822,16384,-1613.0377197265625
1658059872.8872843,18432,-1562.1083984375
1658059896.2447102,20480,-1604.9010009765625
1658059920.36034,22528,-1613.769775390625
1658059944.282185,24576,-1565.708251953125
1658059968.2967887,26624,-1604.1651611328125
1658059992.1346123,28672,-1525.2523193359375
1658060016.146003,30720,-1480.77587890625
1658060040.0805688,32768,-1448.19873046875
1658060064.095871,34816,-1457.3140869140625
1658060087.9044912,36864,-1393.570556640625
1658060111.8549173,38912,-1378.1573486328125
1658060135.807206,40960,-1362.150146484375
1658060163.349645,43008,-1341.8504638671875
1658060187.0922325,45056,-1263.3443603515625
1658060210.827536,47104,-1204.869384765625
1658060234.6763654,49152,-1136.529052734375
1658060258.4591248,51200,-1017.40771484375
1658060282.5084531,53248,-937.5599975585938
1658060306.3761165,55296,-878.1923828125
1658060330.496685,57344,-843.065185546875
1658060354.475664,59392,-768.6937866210938
1658060378.3104203,61440,-745.5064697265625
1658060402.3800387,63488,-670.27001953125
1658060426.0635962,65536,-619.5321044921875
1658060449.7333066,67584,-555.1533203125
1658060473.478847,69632,-476.1759033203125
1658060497.5538926,71680,-454.5609130859375
1658060521.3886433,73728,-443.9132080078125
1658060545.408188,75776,-429.10321044921875
1658060569.2628684,77824,-475.1131896972656
1658060593.125187,79872,-522.3867797851562
1658060617.1373403,81920,-471.4349060058594
1658060640.8972757,83968,-401.1482849121094
1658060668.5893595,86016,-394.8904113769531
1658060692.192626,88064,-290.5823974609375
1658060715.9838872,90112,-226.66549682617188
1658060739.922972,92160,-230.57310485839844
1658060763.4641798,94208,-222.02059936523438
1658060787.158576,96256,-199.96009826660156
1658060810.9438121,98304,-224.87229919433594
1658060834.8196876,100352,-233.53480529785156
1658060858.6063108,102400,-189.09170532226562
1658060882.5802577,104448,-228.5364990234375
1658060906.4342563,106496,-238.3090057373047
1658060930.14527,108544,-215.38890075683594
1658060954.1656697,110592,-234.29840087890625
1658060977.9765813,112640,-255.31100463867188
1658061001.7201407,114688,-217.6488037109375
1658061025.5791168,116736,-201.44189453125
1658061049.525905,118784,-200.31190490722656
1658061073.1609464,120832,-173.83740234375
1658061097.0597153,122880,-198.0861053466797
1658061120.766716,124928,-188.7729949951172
1658061144.5577354,126976,-164.2834014892578
1658061172.3296475,129024,-194.20599365234375
1658061195.9303658,131072,-201.7406005859375
1658061219.7535932,133120,-184.91969299316406
1658061243.5039499,135168,-192.60470581054688
1658061267.304827,137216,-213.29600524902344
1658061291.2297063,139264,-173.4886016845703
1658061315.016462,141312,-170.38540649414062
1658061339.0249512,143360,-156.62060546875
1658061363.1141107,145408,-170.1439971923828
1658061387.116106,147456,-188.31689453125
1658061410.7100623,149504,-208.73570251464844
1658061434.3818336,151552,-213.80599975585938
1658061458.372292,153600,-167.1280975341797
1658061482.1424353,155648,-149.32449340820312
1658061506.1523452,157696,-129.1219024658203
1658061529.9601636,159744,-98.4104995727539
1658061553.873695,161792,-87.25430297851562
1658061577.8233774,163840,-146.7471923828125
1658061601.8128583,165888,-116.7969970703125
1658061625.5911577,167936,-113.13249969482422
1658061649.5341055,169984,-102.90460205078125
1658061677.0986354,172032,-98.07499694824219
1658061700.9182136,174080,-45.599998474121094
1658061724.4783516,176128,-142.99830627441406
1658061748.207862,178176,-116.05470275878906
1658061771.9153929,180224,-103.5031967163086
1658061795.586906,182272,-102.43119812011719
1658061819.5089374,184320,-107.07499694824219
1658061843.354045,186368,-57.914398193359375
1658061867.2241929,188416,-73.01470184326172
1658061890.955762,190464,-96.6613998413086
1658061914.827041,192512,-97.36270141601562
1658061938.6152506,194560,-97.76679992675781
1658061962.2578483,196608,-70.3634033203125
1658061986.000561,198656,-76.08599853515625
1658062009.8476224,200704,-58.96689987182617
1658062033.6798792,202752,-50.777099609375
1658062057.6235964,204800,-50.658199310302734
1658062081.4188235,206848,-46.676300048828125
1658062105.2520816,208896,-46.09370040893555
1658062128.979674,210944,-66.0602035522461
1658062153.1187563,212992,-85.96089935302734
1658062180.626289,215040,-53.07099914550781
1658062204.2408488,217088,-39.13130187988281
1658062228.0642693,219136,-32.32590103149414
1658062251.9132242,221184,-10.251700401306152
1658062275.5352886,223232,9.356800079345703
1658062299.284652,225280,12.42609977722168
1658062323.1712909,227328,22.745500564575195
1658062347.1526532,229376,39.670101165771484
1658062370.8530257,231424,46.91910171508789
1658062394.728738,233472,33.54439926147461
1658062418.4590318,235520,34.286598205566406
1658062442.2331674,237568,-13.276000022888184
1658062465.9944384,239616,-18.125699996948242
1658062489.7679138,241664,-23.162700653076172
1658062513.5410442,243712,4.503399848937988
1658062537.4962916,245760,-19.94580078125
1658062561.3357089,247808,16.335100173950195
1658062585.0394344,249856,12.327699661254883
1658062608.944096,251904,7.259500026702881
1658062632.6846888,253952,-3.2967000007629395
1658062660.0764647,256000,12.049200057983398
1658062683.6644804,258048,7.191999912261963
1658062707.1391013,260096,3.737499952316284
1658062730.8051672,262144,14.259400367736816
1658062754.3938992,264192,23.252199172973633
1658062778.1161184,266240,18.032899856567383
1658062801.9698956,268288,28.667800903320312
1658062825.7565238,270336,43.530601501464844
1658062849.6225889,272384,20.130699157714844
1658062873.5326061,274432,30.20039939880371
1658062897.1660666,276480,48.19279861450195
1658062921.0753467,278528,44.032100677490234
1658062944.8652854,280576,48.188499450683594
1658062968.7648008,282624,69.90440368652344
1658062992.460411,284672,66.9833984375
1658063016.377156,286720,46.05870056152344
1658063039.9578748,288768,67.01110076904297
1658063063.6512926,290816,76.61470031738281
1658063087.5872586,292864,94.94010162353516
1658063111.286917,294912,37.19020080566406
1658063135.1179237,296960,49.30619812011719
1658063162.5553808,299008,28.780500411987305
1658063186.3856304,301056,33.83380126953125
1658063210.1519203,303104,10.431900024414062
1658063233.885464,305152,62.75080108642578
1658063257.587911,307200,97.80729675292969
1658063281.5387483,309248,85.4052963256836
1658063305.270661,311296,79.73049926757812
1658063329.103889,313344,94.27279663085938
1658063352.7726505,315392,119.72139739990234
1658063376.7213025,317440,72.13729858398438
1658063400.4375694,319488,86.02989959716797
1658063424.2928214,321536,78.59919738769531
1658063448.088571,323584,72.64990234375
1658063471.8801105,325632,57.66450119018555
1658063495.7973413,327680,94.19329833984375
1658063519.6333103,329728,72.39800262451172
1658063543.3618493,331776,81.06829833984375
1658063567.2420597,333824,86.502197265625
1658063590.989228,335872,94.5447006225586
1658063615.0944371,337920,95.4020004272461
1658063639.0214412,339968,86.42359924316406
1658063666.3844805,342016,83.23760223388672
1658063690.1503425,344064,63.00450134277344
1658063713.6823382,346112,53.37260055541992
1658063737.4092405,348160,54.55699920654297
1658063761.142087,350208,102.71479797363281
1658063784.7987397,352256,103.30139923095703
1658063808.57068,354304,103.0239028930664
1658063832.6871996,356352,89.23699951171875
1658063856.4854012,358400,84.04090118408203
1658063880.1564004,360448,71.06800079345703
1658063904.132151,362496,64.68240356445312
1658063927.8931355,364544,73.63880157470703
1658063951.6380644,366592,98.83599853515625
1658063975.3651435,368640,104.22640228271484
1658063999.1686363,370688,115.3998031616211
1658064022.8650143,372736,124.23660278320312
1658064046.8523345,374784,128.8813934326172
1658064070.625096,376832,121.21510314941406
1658064094.5839837,378880,130.24969482421875
1658064118.491253,380928,119.87999725341797
1658064142.3264637,382976,115.04319763183594
