Wall time,Step,Value
1658083115.9700215,2048,-2267.78662109375
1658083139.232279,4096,-2052.575439453125
1658083162.6900547,6144,-1973.4569091796875
1658083186.390094,8192,-1889.0003662109375
1658083210.0302637,10240,-1803.612548828125
1658083233.4596457,12288,-1688.9681396484375
1658083256.8768578,14336,-1629.3145751953125
1658083280.287027,16384,-1594.1573486328125
1658083303.734531,18432,-1616.4754638671875
1658083327.1797934,20480,-1685.783447265625
1658083350.5502722,22528,-1658.5308837890625
1658083374.5985866,24576,-1675.6942138671875
1658083398.6529367,26624,-1670.991943359375
1658083422.440764,28672,-1607.217041015625
1658083446.1654997,30720,-1545.1568603515625
1658083469.9655192,32768,-1562.3682861328125
1658083494.0469775,34816,-1491.861328125
1658083517.8631456,36864,-1467.62255859375
1658083541.665338,38912,-1473.298828125
1658083565.457262,40960,-1447.20166015625
1658083593.1589358,43008,-1410.937255859375
1658083616.9860814,45056,-1349.665283203125
1658083640.603986,47104,-1248.5386962890625
1658083664.2187223,49152,-1157.201904296875
1658083688.1704981,51200,-1052.4222412109375
1658083712.2986095,53248,-956.3887939453125
1658083736.1901588,55296,-865.5377807617188
1658083760.1128304,57344,-801.8018798828125
1658083784.3835397,59392,-750.4630126953125
1658083808.2321637,61440,-724.24462890625
1658083832.212831,63488,-656.777099609375
1658083855.9372811,65536,-648.4307250976562
1658083879.5719247,67584,-584.693115234375
1658083903.5674992,69632,-528.5827026367188
1658083927.0727777,71680,-474.0021057128906
1658083950.8281975,73728,-440.70709228515625
1658083974.4659357,75776,-398.2040100097656
1658083998.2464502,77824,-405.70318603515625
1658084022.3349025,79872,-397.789794921875
1658084046.1879756,81920,-382.4468078613281
1658084069.757239,83968,-397.1877136230469
1658084097.1895406,86016,-388.8263854980469
1658084120.8376863,88064,-359.8594970703125
1658084144.2318387,90112,-364.40301513671875
1658084168.0276282,92160,-365.1022033691406
1658084191.8361514,94208,-345.434814453125
1658084215.64895,96256,-374.0581970214844
1658084239.7603548,98304,-367.8316955566406
1658084263.478873,100352,-342.0517883300781
1658084287.3191552,102400,-317.025390625
1658084310.9398174,104448,-295.7543029785156
1658084334.4987078,106496,-241.4499969482422
1658084358.0306363,108544,-222.59129333496094
1658084381.6841857,110592,-218.5709991455078
1658084405.3921542,112640,-210.74169921875
1658084429.4042687,114688,-202.9031982421875
1658084453.46176,116736,-164.8878936767578
1658084477.092795,118784,-169.1226043701172
1658084500.7909205,120832,-170.45550537109375
1658084524.8973377,122880,-182.16819763183594
1658084548.6103601,124928,-206.5601043701172
1658084572.1711826,126976,-206.73480224609375
1658084599.6256912,129024,-191.6468048095703
1658084623.1187532,131072,-200.55369567871094
1658084646.8347766,133120,-244.0823974609375
1658084670.3283274,135168,-249.25399780273438
1658084694.134036,137216,-271.60040283203125
1658084717.8910177,139264,-256.33349609375
1658084741.3904693,141312,-228.16180419921875
1658084765.0877934,143360,-182.2563018798828
1658084789.0021946,145408,-206.4468994140625
1658084812.798047,147456,-238.76280212402344
1658084836.4768348,149504,-230.70150756835938
1658084860.2765405,151552,-246.6688995361328
1658084884.0707655,153600,-249.18960571289062
1658084907.729162,155648,-207.18359375
1658084931.5158987,157696,-171.92430114746094
1658084955.123046,159744,-158.3997039794922
1658084978.7973368,161792,-154.87579345703125
