Wall time,Step,Value
1658130362.3601403,2048,-2217.323486328125
1658130387.2491677,4096,-2023.196533203125
1658130411.8833983,6144,-1875.5345458984375
1658130436.586228,8192,-1857.238037109375
1658130461.2675538,10240,-1848.9569091796875
1658130485.698817,12288,-1769.4510498046875
1658130510.6558049,14336,-1729.033447265625
1658130535.3665428,16384,-1789.618408203125
1658130560.1893477,18432,-1791.0166015625
1658130584.8700085,20480,-1778.687255859375
1658130609.525473,22528,-1789.075927734375
1658130634.1839478,24576,-1825.896240234375
1658130658.843272,26624,-1830.1534423828125
1658130683.6982017,28672,-1802.356201171875
1658130708.4953597,30720,-1767.798095703125
1658130733.4433646,32768,-1699.6357421875
1658130758.1567826,34816,-1680.5538330078125
1658130782.9817827,36864,-1630.7430419921875
1658130807.6794684,38912,-1610.704345703125
1658130832.3713882,40960,-1610.4178466796875
1658130860.9818778,43008,-1577.1241455078125
1658130885.5114527,45056,-1544.896484375
1658130910.253044,47104,-1528.8546142578125
1658130934.8898375,49152,-1499.5609130859375
1658130961.2473578,51200,-1483.2425537109375
1658130987.3266783,53248,-1474.644775390625
1658131012.2662702,55296,-1459.73291015625
1658131037.2099094,57344,-1470.490966796875
1658131063.3832595,59392,-1483.1766357421875
1658131091.1294837,61440,-1482.698974609375
1658131118.263489,63488,-1504.5576171875
1658131145.404688,65536,-1519.851806640625
1658131171.207651,67584,-1521.0550537109375
1658131196.0549245,69632,-1474.095947265625
1658131221.1766217,71680,-1473.1126708984375
1658131245.8887498,73728,-1446.0244140625
1658131271.1140413,75776,-1423.7950439453125
1658131296.0495067,77824,-1421.287353515625
1658131320.3899448,79872,-1452.7799072265625
1658131345.0409198,81920,-1420.016357421875
1658131369.4983664,83968,-1410.2677001953125
1658131397.679395,86016,-1412.6396484375
1658131422.11809,88064,-1393.8275146484375
1658131446.1161284,90112,-1380.3377685546875
1658131470.4748783,92160,-1383.0579833984375
1658131494.5924187,94208,-1395.594970703125
1658131519.1943355,96256,-1398.963134765625
1658131543.8231733,98304,-1389.0069580078125
1658131568.3481352,100352,-1398.88916015625
1658131592.8160937,102400,-1393.1175537109375
1658131617.22171,104448,-1403.248291015625
1658131641.7726164,106496,-1388.714599609375
1658131666.18736,108544,-1403.6942138671875
1658131690.6296036,110592,-1397.53955078125
1658131714.920268,112640,-1412.86376953125
1658131739.2607481,114688,-1399.171142578125
1658131763.7270741,116736,-1415.6802978515625
1658131788.2061727,118784,-1395.136962890625
1658131812.8821466,120832,-1402.7601318359375
1658131837.2195868,122880,-1405.6478271484375
1658131861.821505,124928,-1435.03515625
1658131886.3737645,126976,-1448.3961181640625
1658131914.4270277,129024,-1475.1136474609375
1658131938.6973104,131072,-1482.4212646484375
1658131962.8160994,133120,-1462.997802734375
1658131987.0100074,135168,-1442.13134765625
1658132012.123237,137216,-1423.237060546875
1658132037.4305882,139264,-1432.7528076171875
1658132062.169888,141312,-1428.9251708984375
1658132087.6854334,143360,-1432.6031494140625
1658132114.1722524,145408,-1446.0196533203125
