Wall time,Step,Value
1657989688.3630624,2048,-2255.423583984375
1657989711.7966542,4096,-2120.1279296875
1657989735.4341743,6144,-1997.2156982421875
1657989758.8113978,8192,-1886.5341796875
1657989782.3014376,10240,-1885.1043701171875
1657989805.7519186,12288,-1779.779052734375
1657989829.0701976,14336,-1691.22705078125
1657989852.443301,16384,-1649.3343505859375
1657989876.2954054,18432,-1642.57861328125
1657989900.03876,20480,-1561.394287109375
1657989923.9579723,22528,-1489.600830078125
1657989947.9145305,24576,-1491.54345703125
1657989971.6562955,26624,-1475.8184814453125
1657989995.676936,28672,-1481.9068603515625
1657990019.413508,30720,-1476.1248779296875
1657990043.2764034,32768,-1508.6226806640625
1657990067.2393024,34816,-1471.241455078125
1657990091.0758898,36864,-1468.033935546875
1657990114.8016095,38912,-1450.77392578125
1657990138.8294463,40960,-1458.40576171875
1657990166.3486836,43008,-1442.0076904296875
1657990189.9068527,45056,-1454.478759765625
1657990213.6861107,47104,-1435.0279541015625
1657990237.4201071,49152,-1406.7628173828125
1657990261.1729295,51200,-1420.4715576171875
1657990284.9253426,53248,-1406.012451171875
1657990308.7992055,55296,-1376.513427734375
1657990332.8968947,57344,-1373.255859375
1657990356.8356962,59392,-1320.3746337890625
1657990380.6508906,61440,-1259.8348388671875
1657990404.6099555,63488,-1272.6015625
1657990428.31108,65536,-1211.2852783203125
1657990452.0841448,67584,-1164.76318359375
1657990475.7097638,69632,-1154.479248046875
1657990499.4461386,71680,-1047.2432861328125
1657990523.0874808,73728,-945.1423950195312
1657990546.9109364,75776,-873.327392578125
1657990570.528935,77824,-752.0401000976562
1657990594.4577048,79872,-703.7860107421875
1657990618.3215017,81920,-679.7369995117188
1657990641.9987147,83968,-635.7468872070312
1657990669.4230866,86016,-620.114501953125
1657990693.148153,88064,-596.2153930664062
1657990716.7956028,90112,-526.1566162109375
1657990740.344288,92160,-493.47149658203125
1657990764.1394746,94208,-487.1706848144531
1657990787.701925,96256,-412.5907897949219
1657990811.316701,98304,-367.2027893066406
1657990834.9728816,100352,-346.8370056152344
1657990858.9857273,102400,-298.84161376953125
1657990882.6806505,104448,-241.58120727539062
1657990906.4287593,106496,-245.16810607910156
1657990930.3286014,108544,-245.17160034179688
1657990954.1535714,110592,-197.27279663085938
1657990977.900945,112640,-189.58700561523438
1657991001.6665876,114688,-175.202392578125
1657991025.358339,116736,-133.69639587402344
1657991049.2692747,118784,-123.92649841308594
1657991072.9535441,120832,-100.62249755859375
1657991096.4781735,122880,-99.6708984375
1657991120.1718998,124928,-90.70159912109375
1657991143.840016,126976,-80.17639923095703
1657991170.9865015,129024,-84.8718032836914
1657991194.6161942,131072,-92.0427017211914
1657991218.1186528,133120,-85.80549621582031
1657991241.8100975,135168,-188.09689331054688
1657991265.4650073,137216,-236.9445037841797
1657991289.0532184,139264,-229.19509887695312
1657991312.8473618,141312,-212.61300659179688
1657991336.377286,143360,-178.76190185546875
1657991360.164965,145408,-59.23469924926758
1657991383.8426442,147456,-20.894500732421875
1657991407.5288634,149504,-8.43120002746582
1657991431.2508626,151552,-0.9678999781608582
1657991454.8036985,153600,32.64289855957031
1657991478.5474892,155648,20.209299087524414
1657991502.181705,157696,30.507099151611328
1657991525.8285146,159744,27.069700241088867
1657991549.54784,161792,33.44710159301758
1657991573.3030617,163840,41.1786994934082
1657991597.1023488,165888,70.49590301513672
1657991620.870564,167936,39.441898345947266
1657991644.4593327,169984,42.90530014038086
1657991672.0531313,172032,57.98659896850586
1657991695.5411704,174080,68.11039733886719
1657991719.338109,176128,42.5166015625
